outer_fold,h,alpha,inner_cv_error
1,1,1e-06,0.6650406504065041
1,1,1e-05,0.6650406504065041
1,1,0.0001,0.6650406504065041
1,1,0.001,0.6650406504065041
1,1,0.01,0.6650406504065041
1,1,0.1,0.6650406504065041
1,1,1.0,0.6650406504065041
1,2,1e-06,0.6313588850174217
1,2,1e-05,0.6313588850174217
1,2,0.0001,0.6313588850174217
1,2,0.001,0.6313588850174217
1,2,0.01,0.6313588850174217
1,2,0.1,0.6313588850174217
1,2,1.0,0.6313588850174217
1,4,1e-06,0.6168989547038328
1,4,1e-05,0.6168989547038328
1,4,0.0001,0.6168989547038328
1,4,0.001,0.6168989547038328
1,4,0.01,0.6168989547038328
1,4,0.1,0.6216608594657376
1,4,1.0,0.6216608594657376
1,8,1e-06,0.34709639953542404
1,8,1e-05,0.34709639953542404
1,8,0.0001,0.34709639953542404
1,8,0.001,0.34709639953542404
1,8,0.01,0.34709639953542404
1,8,0.1,0.34709639953542404
1,8,1.0,0.34709639953542404
1,12,1e-06,0.34221835075493623
1,12,1e-05,0.34221835075493623
1,12,0.0001,0.34221835075493623
1,12,0.001,0.34221835075493623
1,12,0.01,0.34221835075493623
1,12,0.1,0.34221835075493623
1,12,1.0,0.33495934959349594
1,16,1e-06,0.3729965156794426
1,16,1e-05,0.3729965156794426
1,16,0.0001,0.3729965156794426
1,16,0.001,0.3729965156794426
1,16,0.01,0.3729965156794426
1,16,0.1,0.3729965156794426
1,16,1.0,0.37293844367015105
1,24,1e-06,0.30615563298490134
1,24,1e-05,0.30615563298490134
1,24,0.0001,0.30615563298490134
1,24,0.001,0.30615563298490134
1,24,0.01,0.30615563298490134
1,24,0.1,0.30615563298490134
1,24,1.0,0.30615563298490134
2,1,1e-06,0.6409407665505227
2,1,1e-05,0.6409407665505227
2,1,0.0001,0.6409407665505227
2,1,0.001,0.6409407665505227
2,1,0.01,0.6409407665505227
2,1,0.1,0.6409407665505227
2,1,1.0,0.6409407665505227
2,2,1e-06,0.6193960511033683
2,2,1e-05,0.6193960511033683
2,2,0.0001,0.6193960511033683
2,2,0.001,0.6193960511033683
2,2,0.01,0.6193960511033683
2,2,0.1,0.6193960511033683
2,2,1.0,0.6193960511033683
2,4,1e-06,0.6384436701509872
2,4,1e-05,0.6384436701509872
2,4,0.0001,0.6384436701509872
2,4,0.001,0.6384436701509872
2,4,0.01,0.6384436701509872
2,4,0.1,0.6384436701509872
2,4,1.0,0.6336817653890825
2,8,1e-06,0.35685249709639955
2,8,1e-05,0.35685249709639955
2,8,0.0001,0.35685249709639955
2,8,0.001,0.35685249709639955
2,8,0.01,0.35685249709639955
2,8,0.1,0.35685249709639955
2,8,1.0,0.36167247386759593
2,12,1e-06,0.41445993031358896
2,12,1e-05,0.41445993031358896
2,12,0.0001,0.41445993031358896
2,12,0.001,0.41445993031358896
2,12,0.01,0.41445993031358896
2,12,0.1,0.41445993031358896
2,12,1.0,0.41445993031358896
2,16,1e-06,0.341637630662021
2,16,1e-05,0.341637630662021
2,16,0.0001,0.341637630662021
2,16,0.001,0.341637630662021
2,16,0.01,0.341637630662021
2,16,0.1,0.341637630662021
2,16,1.0,0.33925667828106865
2,24,1e-06,0.33199767711962846
2,24,1e-05,0.33199767711962846
2,24,0.0001,0.33199767711962846
2,24,0.001,0.33199767711962846
2,24,0.01,0.33199767711962846
2,24,0.1,0.33199767711962846
2,24,1.0,0.319918699186992
3,1,1e-06,0.6538908246225319
3,1,1e-05,0.6538908246225319
3,1,0.0001,0.6538908246225319
3,1,0.001,0.6538908246225319
3,1,0.01,0.6538908246225319
3,1,0.1,0.6538908246225319
3,1,1.0,0.6538908246225319
3,2,1e-06,0.6252032520325204
3,2,1e-05,0.6252032520325204
3,2,0.0001,0.6252032520325204
3,2,0.001,0.6252032520325204
3,2,0.01,0.6252032520325204
3,2,0.1,0.6252032520325204
3,2,1.0,0.6252032520325204
3,4,1e-06,0.6296167247386759
3,4,1e-05,0.6296167247386759
3,4,0.0001,0.6296167247386759
3,4,0.001,0.6296167247386759
3,4,0.01,0.6296167247386759
3,4,0.1,0.6296167247386759
3,4,1.0,0.6296167247386759
3,8,1e-06,0.35121951219512204
3,8,1e-05,0.35121951219512204
3,8,0.0001,0.35121951219512204
3,8,0.001,0.35121951219512204
3,8,0.01,0.35121951219512204
3,8,0.1,0.35121951219512204
3,8,1.0,0.35121951219512204
3,12,1e-06,0.36306620209059237
3,12,1e-05,0.36306620209059237
3,12,0.0001,0.36306620209059237
3,12,0.001,0.36306620209059237
3,12,0.01,0.36306620209059237
3,12,0.1,0.36306620209059237
3,12,1.0,0.3679442508710802
3,16,1e-06,0.3608594657375146
3,16,1e-05,0.3608594657375146
3,16,0.0001,0.3608594657375146
3,16,0.001,0.3608594657375146
3,16,0.01,0.3608594657375146
3,16,0.1,0.3584785133565622
3,16,1.0,0.34134727061556336
3,24,1e-06,0.3585946573751452
3,24,1e-05,0.3585946573751452
3,24,0.0001,0.3585946573751452
3,24,0.001,0.3585946573751452
3,24,0.01,0.3585946573751452
3,24,0.1,0.3585946573751452
3,24,1.0,0.35627177700348445
4,1,1e-06,0.6586527293844368
4,1,1e-05,0.6586527293844368
4,1,0.0001,0.6586527293844368
4,1,0.001,0.6586527293844368
4,1,0.01,0.6586527293844368
4,1,0.1,0.6586527293844368
4,1,1.0,0.6586527293844368
4,2,1e-06,0.6275842044134727
4,2,1e-05,0.6275842044134727
4,2,0.0001,0.6275842044134727
4,2,0.001,0.6275842044134727
4,2,0.01,0.6275842044134727
4,2,0.1,0.6275842044134727
4,2,1.0,0.6275842044134727
4,4,1e-06,0.6321138211382114
4,4,1e-05,0.6321138211382114
4,4,0.0001,0.6321138211382114
4,4,0.001,0.6321138211382114
4,4,0.01,0.6321138211382114
4,4,0.1,0.6321138211382114
4,4,1.0,0.6273519163763066
4,8,1e-06,0.3609175377468061
4,8,1e-05,0.3609175377468061
4,8,0.0001,0.3609175377468061
4,8,0.001,0.3609175377468061
4,8,0.01,0.3609175377468061
4,8,0.1,0.3609175377468061
4,8,1.0,0.3609175377468061
4,12,1e-06,0.36062717770034847
4,12,1e-05,0.36062717770034847
4,12,0.0001,0.36062717770034847
4,12,0.001,0.36062717770034847
4,12,0.01,0.36062717770034847
