outer_fold,lambda,inner_cv_error
1,0.0,0.279500580720093
1,1e-06,0.279500580720093
1,1e-05,0.279500580720093
1,0.0001,0.279500580720093
1,0.001,0.279500580720093
1,0.01,0.279500580720093
1,0.1,0.279500580720093
1,1.0,0.279500580720093
1,10.0,0.27479674796747977
2,0.0,0.2873983739837398
2,1e-06,0.2873983739837398
2,1e-05,0.2873983739837398
2,0.0001,0.2873983739837398
2,0.001,0.2873983739837398
2,0.01,0.2873983739837398
2,0.1,0.2873983739837398
2,1.0,0.284959349593496
2,10.0,0.2780487804878049
3,0.0,0.2714866434378631
3,1e-06,0.2714866434378631
3,1e-05,0.2714866434378631
3,0.0001,0.2714866434378631
3,0.001,0.2714866434378631
3,0.01,0.2714866434378631
3,0.1,0.2714866434378631
3,1.0,0.2690476190476191
3,10.0,0.2617886178861789
4,0.0,0.2784552845528456
4,1e-06,0.2784552845528456
4,1e-05,0.2784552845528456
4,0.0001,0.2784552845528456
4,0.001,0.2784552845528456
4,0.01,0.2784552845528456
4,0.1,0.2784552845528456
4,1.0,0.27607433217189326
4,10.0,0.2735191637630663
5,0.0,0.28391405342624865
5,1e-06,0.28391405342624865
5,1e-05,0.28391405342624865
5,0.0001,0.28391405342624865
5,0.001,0.28391405342624865
5,0.01,0.28391405342624865
5,0.1,0.28391405342624865
5,1.0,0.286295005807201
5,10.0,0.27665505226480847
6,0.0,0.2662601626016261
6,1e-06,0.2662601626016261
6,1e-05,0.2662601626016261
6,0.0001,0.2662601626016261
6,0.001,0.2662601626016261
6,0.01,0.2662601626016261
6,0.1,0.2662601626016261
6,1.0,0.2662601626016261
6,10.0,0.259117305458769
7,0.0,0.27415795586527303
7,1e-06,0.27415795586527303
7,1e-05,0.27415795586527303
7,0.0001,0.27415795586527303
7,0.001,0.27415795586527303
7,0.01,0.27415795586527303
7,0.1,0.27415795586527303
7,1.0,0.27177700348432066
7,10.0,0.2718350754936122
8,0.0,0.27659698025551704
8,1e-06,0.27659698025551704
8,1e-05,0.27659698025551704
8,0.0001,0.27659698025551704
8,0.001,0.27659698025551704
8,0.01,0.27659698025551704
8,0.1,0.27659698025551704
8,1.0,0.27659698025551704
8,10.0,0.26695702671312427
9,0.0,0.26445993031358883
9,1e-06,0.26445993031358883
9,1e-05,0.26445993031358883
9,0.0001,0.26445993031358883
9,0.001,0.26445993031358883
9,0.01,0.26445993031358883
9,0.1,0.26445993031358883
9,1.0,0.2668408826945413
9,10.0,0.25249709639953544
10,0.0,0.28803716608594665
10,1e-06,0.28803716608594665
10,1e-05,0.28803716608594665
10,0.0001,0.28803716608594665
10,0.001,0.28803716608594665
10,0.01,0.28803716608594665
10,0.1,0.28803716608594665
10,1.0,0.2856562137049943
10,10.0,0.290418118466899
