outer_fold,h_star,alpha_star,Etest_ann,Etest_baseline
1,20,100.0,2.681186702611872,3.695204825145237
2,24,100.0,4.140034986673883,4.666143067091232
3,1,10.0,3.7356690634865592,4.208068982520862
4,8,10.0,2.070489009647879,2.3676092700578453
5,24,100.0,2.338648349564678,2.54442046957406
6,2,10.0,3.1651517276249908,3.8664232914804155
7,12,100.0,5.753814898487377,6.172196548365346
8,1,10.0,2.8641792248339932,3.9596575407608694
9,2,10.0,4.992202387611341,5.835536203787264
10,20,100.0,4.723900973301752,5.652057900935814
