outer_fold,h,alpha,inner_cv_mse
1,1,0.0001,361.29877666459686
1,1,0.001,361.30714707735285
1,1,0.01,361.2598499915735
1,1,0.1,361.5896724623984
1,1,1.0,365.0550883804263
1,1,10.0,363.6596807911425
1,1,100.0,366.9572851894119
1,2,0.0001,396.6113871639485
1,2,0.001,396.611220364092
1,2,0.01,396.6113952845428
1,2,0.1,396.60323331310406
1,2,1.0,396.48703261857656
1,2,10.0,395.83487050513264
1,2,100.0,392.7977598280141
1,4,0.0001,419.76815189948786
1,4,0.001,420.09216689803225
1,4,0.01,419.5189060312579
1,4,0.1,419.47591401466724
1,4,1.0,420.0168812626777
1,4,10.0,417.29405025418936
1,4,100.0,403.2410702462726
1,8,0.0001,405.3607821905457
1,8,0.001,405.3862143931113
1,8,0.01,405.6854768520352
1,8,0.1,405.72371809391797
1,8,1.0,406.5199978166411
1,8,10.0,405.065060089123
1,8,100.0,391.55330475365474
1,12,0.0001,558.7148400320345
1,12,0.001,559.5935778140818
1,12,0.01,560.6092266473078
1,12,0.1,558.3339329029726
1,12,1.0,557.6497972868267
1,12,10.0,549.9605486247374
1,12,100.0,445.48276024450536
1,16,0.0001,484.68831368284935
1,16,0.001,484.723057745611
1,16,0.01,479.0900578181946
1,16,0.1,484.9052501001007
1,16,1.0,479.02907960750235
1,16,10.0,472.9789537417688
1,16,100.0,445.1797252981284
1,20,0.0001,490.8093991195766
1,20,0.001,490.8120364900266
1,20,0.01,491.10814388083344
1,20,0.1,493.6507723593644
1,20,1.0,493.99544429787113
1,20,10.0,482.93898781107754
1,20,100.0,421.0321697875136
1,24,0.0001,439.8993282892669
1,24,0.001,445.96727255046983
1,24,0.01,438.8194941703553
1,24,0.1,438.216667624416
1,24,1.0,439.6695195809809
1,24,10.0,444.19216836916803
1,24,100.0,398.48451902649043
2,1,0.0001,353.82234226322925
2,1,0.001,353.8114870678172
2,1,0.01,353.81438060122616
2,1,0.1,353.80612309328495
2,1,1.0,378.07425714048316
2,1,10.0,378.91540941374956
2,1,100.0,375.696659844481
2,2,0.0001,406.6031863439889
2,2,0.001,406.60315086212705
2,2,0.01,406.60151735636947
2,2,0.1,406.58577771021635
2,2,1.0,406.4282229495474
2,2,10.0,404.57261638439434
2,2,100.0,395.22611998173295
2,4,0.0001,400.39607885656335
2,4,0.001,400.39258219670785
2,4,0.01,400.3928409469901
2,4,0.1,400.26591117657415
2,4,1.0,400.5008051495294
2,4,10.0,397.981576799375
2,4,100.0,377.373818508732
2,8,0.0001,423.3814509258047
2,8,0.001,423.4095455653047
2,8,0.01,423.357967697803
2,8,0.1,420.3171386617274
2,8,1.0,424.9304374498644
2,8,10.0,429.26536118378925
2,8,100.0,410.10266245351403
2,12,0.0001,511.7476662427034
2,12,0.001,512.3138165132226
2,12,0.01,513.4710214192622
2,12,0.1,513.03936929936
2,12,1.0,497.34098250233654
2,12,10.0,470.2321320809393
2,12,100.0,414.9975904256771
2,16,0.0001,461.55051377055423
2,16,0.001,461.76218077543456
2,16,0.01,461.7715645312751
2,16,0.1,474.3369604402399
2,16,1.0,473.584628526527
2,16,10.0,473.4740569981638
2,16,100.0,410.7690692713378
2,20,0.0001,463.5839663641112
2,20,0.001,464.3090660078992
2,20,0.01,462.34492248764275
2,20,0.1,464.2144531678
2,20,1.0,470.2230974519809
2,20,10.0,446.01383707404347
2,20,100.0,394.7592322263934
2,24,0.0001,494.2979767756848
2,24,0.001,494.50661979384506
2,24,0.01,495.3849620140002
2,24,0.1,497.2506760367751
