outer_fold,h_star,alpha_star,Etest_ann,Etest_baseline
1,4,100.0,332.5001666770985,424.7886952681271
2,1,100.0,381.8688689167419,497.5023688087392
3,1,100.0,300.91899982728756,379.8050007939124
4,2,1.0,222.1062498641875,260.15089938215516
5,1,10.0,435.3596291057424,447.62622579069654
6,1,100.0,371.60768265299583,453.59352865923273
7,2,1.0,474.9487267864917,570.0493270838695
8,1,100.0,291.3176777973837,309.4578633505919
9,2,1.0,509.67338340811557,399.89240753432927
10,1,100.0,438.40071856909896,483.5105308962567
