lambda,fold,mse
0.0001,1,150.01548755620996
0.0001,2,302.49374787791174
0.0001,3,239.52104403656892
0.0001,4,131.9635406733491
0.0001,5,236.48774830026784
0.0001,6,124.2386490291446
0.0001,7,158.40313356475767
0.0001,8,223.4166019810031
0.0001,9,136.93957440980358
0.0001,10,122.83768879610845
0.00017433288221999874,1,150.01548744514704
0.00017433288221999874,2,302.49374933357177
0.00017433288221999874,3,239.52103703452704
0.00017433288221999874,4,131.96353843089466
0.00017433288221999874,5,236.48774762156148
0.00017433288221999874,6,124.23864571690596
0.00017433288221999874,7,158.4031359357851
0.00017433288221999874,8,223.41659132199763
0.00017433288221999874,9,136.93956802283856
0.00017433288221999874,10,122.83768601021352
0.0003039195382313198,1,150.0154872515288
0.0003039195382313198,2,302.49375187127947
0.0003039195382313198,3,239.52102482770144
0.0003039195382313198,4,131.96353452156487
0.0003039195382313198,5,236.48774643835515
0.0003039195382313198,6,124.23863994259591
0.0003039195382313198,7,158.40314006925706
0.0003039195382313198,8,223.41657273991558
0.0003039195382313198,9,136.9395568882842
0.0003039195382313198,10,122.83768115348998
0.0005298316906283707,1,150.0154869139908
0.0005298316906283707,2,302.4937562953802
0.0005298316906283707,3,239.5210035472982
0.0005298316906283707,4,131.96352770633467
0.0005298316906283707,5,236.4877443756422
0.0005298316906283707,6,124.23862987610785
0.0005298316906283707,7,158.4031472752322
0.0005298316906283707,8,223.4165403454466
0.0005298316906283707,9,136.93953747717356
0.0005298316906283707,10,122.8376726866465
0.0009236708571873865,1,150.01548632555844
0.0009236708571873865,2,302.4937640081688
0.0009236708571873865,3,239.52096644888536
0.0009236708571873865,4,131.9635158251995
0.0009236708571873865,5,236.48774077966968
0.0009236708571873865,6,124.23861232700952
0.0009236708571873865,7,158.40315983753794
0.0009236708571873865,8,223.41648387187294
0.0009236708571873865,9,136.9395036374648
0.0009236708571873865,10,122.83765792622313
0.0016102620275609393,1,150.01548529974932
0.0016102620275609393,2,302.4937774544797
0.0016102620275609393,3,239.520901775149
0.0016102620275609393,4,131.96349511263202
0.0016102620275609393,5,236.4877345107516
0.0016102620275609393,6,124.23858173346613
0.0016102620275609393,7,158.40318173752965
0.0016102620275609393,8,223.4163854218046
0.0016102620275609393,9,136.93944464445406
0.0016102620275609393,10,122.83763219416109
0.0028072162039411755,1,150.01548351149364
0.0028072162039411755,2,302.49380089698883
0.0028072162039411755,3,239.5207890305867
0.0028072162039411755,4,131.96345900429597
0.0028072162039411755,5,236.48772358210147
0.0028072162039411755,6,124.23852839978856
0.0028072162039411755,7,158.403219915693
0.0028072162039411755,8,223.41621379685856
0.0028072162039411755,9,136.93934180245307
0.0028072162039411755,10,122.83758733535171
0.004893900918477494,1,150.01548039417924
0.004893900918477494,2,302.49384176853897
0.004893900918477494,3,239.52059248893931
0.004893900918477494,4,131.9633960570518
0.004893900918477494,5,236.4877045302821
0.004893900918477494,6,124.2384354244726
0.004893900918477494,7,158.4032864705873
0.004893900918477494,8,223.4159146160603
0.004893900918477494,9,136.93916252176055
0.004893900918477494,10,122.83750913362958
0.008531678524172814,1,150.01547496029337
0.008531678524172814,2,302.4939130318731
0.008531678524172814,3,239.5202498801706
0.008531678524172814,4,131.96328632373968
0.008531678524172814,5,236.48767131794622
0.008531678524172814,6,124.2382733464996
0.008531678524172814,7,158.40340249097207
0.008531678524172814,8,223.41539309999933
0.008531678524172814,9,136.9388499970194
0.008531678524172814,10,122.83737280818806
0.014873521072935119,1,150.01546548912134
0.014873521072935119,2,302.4940373000551
0.014873521072935119,3,239.51965268536185
0.014873521072935119,4,131.96309503596532
0.014873521072935119,5,236.4876134217238
0.014873521072935119,6,124.2379908173572
0.014873521072935119,7,158.40360473235154
0.014873521072935119,8,223.414484091465
